id,full_name,url,stars,forks,commit,openIssue,closedIssue
138786192,stardist/stardist,https://api.github.com/repos/stardist/stardist,368,114,674,27,134
254755757,Palashio/libra,https://api.github.com/repos/Palashio/libra,1927,116,1367,44,128
327949189,mindee/doctr,https://api.github.com/repos/mindee/doctr,586,90,562,31,125
189305903,tensorflow/text,https://api.github.com/repos/tensorflow/text,887,180,596,26,123
264782257,Shawn-Shan/fawkes,https://api.github.com/repos/Shawn-Shan/fawkes,4430,435,128,11,123
67887646,ChrisCummins/clgen,https://api.github.com/repos/ChrisCummins/clgen,93,28,1899,15,122
6472554,invesalius/invesalius3,https://api.github.com/repos/invesalius/invesalius3,387,164,2576,71,120
135559956,sentinel-hub/eo-learn,https://api.github.com/repos/sentinel-hub/eo-learn,843,257,1791,11,119
46973796,inspirehep/magpie,https://api.github.com/repos/inspirehep/magpie,652,190,196,47,119
137616563,MLBazaar/MLPrimitives,https://api.github.com/repos/MLBazaar/MLPrimitives,62,35,608,27,118
105699750,yzhao062/pyod,https://api.github.com/repos/yzhao062/pyod,5224,1031,1414,107,117
292049260,Niketkumardheeryan/ML-CaPsule,https://api.github.com/repos/Niketkumardheeryan/ML-CaPsule,60,73,443,1,115
142100489,tech-srl/code2vec,https://api.github.com/repos/tech-srl/code2vec,831,228,161,10,114
83074537,freesurfer/freesurfer,https://api.github.com/repos/freesurfer/freesurfer,290,161,30175,6,111
262236251,SR-Sunny-Raj/Hacktoberfest2021-DSA,https://api.github.com/repos/SR-Sunny-Raj/Hacktoberfest2021-DSA,242,1108,2765,0,111
185701977,huaweicloud/ModelArts-Lab,https://api.github.com/repos/huaweicloud/ModelArts-Lab,891,867,2507,59,111
38223600,openvax/mhcflurry,https://api.github.com/repos/openvax/mhcflurry,131,43,1624,3,111
68256277,TeamHG-Memex/eli5,https://api.github.com/repos/TeamHG-Memex/eli5,2495,318,1198,137,111
88212752,cmu-db/ottertune,https://api.github.com/repos/cmu-db/ottertune,1137,270,384,16,110
59806725,LearnSphere/WorkflowComponents,https://api.github.com/repos/LearnSphere/WorkflowComponents,22,16,1015,14,108
209895143,faustomorales/keras-ocr,https://api.github.com/repos/faustomorales/keras-ocr,969,249,184,53,106
114906951,cornell-zhang/heterocl,https://api.github.com/repos/cornell-zhang/heterocl,204,64,371,91,105
257648141,Adapter-Hub/adapter-transformers,https://api.github.com/repos/Adapter-Hub/adapter-transformers,655,106,8763,31,104
202993277,david8862/keras-YOLOv3-model-set,https://api.github.com/repos/david8862/keras-YOLOv3-model-set,562,193,528,111,102
394994747,jina-ai/finetuner,https://api.github.com/repos/jina-ai/finetuner,412,23,405,15,102
205706595,mlrun/mlrun,https://api.github.com/repos/mlrun/mlrun,560,117,1860,38,101
73519205,raghakot/keras-vis,https://api.github.com/repos/raghakot/keras-vis,2912,640,195,113,101
135504777,keras-team/keras-preprocessing,https://api.github.com/repos/keras-team/keras-preprocessing,1008,448,284,77,100
83119431,apachecn/AiLearning,https://api.github.com/repos/apachecn/AiLearning,32639,10734,206,2,100
241095326,adap/flower,https://api.github.com/repos/adap/flower,729,185,678,108,99
214224803,biocorecrg/master_of_pores,https://api.github.com/repos/biocorecrg/master_of_pores,70,12,289,6,99
6942323,bgruening/galaxytools,https://api.github.com/repos/bgruening/galaxytools,95,174,6154,96,98
215496017,KonduitAI/konduit-serving,https://api.github.com/repos/KonduitAI/konduit-serving,45,13,1012,116,98
63017796,ArtificialIntelligenceToolkit/conx,https://api.github.com/repos/ArtificialIntelligenceToolkit/conx,92,16,921,26,98
248347348,lindawangg/COVID-Net,https://api.github.com/repos/lindawangg/COVID-Net,1076,463,227,30,98
96913967,eriklindernoren/Keras-GAN,https://api.github.com/repos/eriklindernoren/Keras-GAN,8550,3047,185,118,98
80089456,oracle/Skater,https://api.github.com/repos/oracle/Skater,1012,168,1101,66,97
64289132,NeuromorphicProcessorProject/snn_toolbox,https://api.github.com/repos/NeuromorphicProcessorProject/snn_toolbox,244,92,654,2,96
19313806,scikit-multilearn/scikit-multilearn,https://api.github.com/repos/scikit-multilearn/scikit-multilearn,719,140,487,75,94
149458170,acconeer/acconeer-python-exploration,https://api.github.com/repos/acconeer/acconeer-python-exploration,108,43,982,3,92
261861733,keras-team/keras-io,https://api.github.com/repos/keras-team/keras-io,1355,1210,835,193,92
239971181,HenriquesLab/ZeroCostDL4Mic,https://api.github.com/repos/HenriquesLab/ZeroCostDL4Mic,304,64,543,23,92
252069995,microsoft/nnfusion,https://api.github.com/repos/microsoft/nnfusion,614,89,180,71,92
257801423,cap-ntu/ML-Model-CI,https://api.github.com/repos/cap-ntu/ML-Model-CI,156,27,843,26,91
124969197,nabeel-oz/qlik-py-tools,https://api.github.com/repos/nabeel-oz/qlik-py-tools,155,79,393,21,91
366098084,Ayush7614/Soomvaar,https://api.github.com/repos/Ayush7614/Soomvaar,38,52,409,14,90
64573324,jeffheaton/t81_558_deep_learning,https://api.github.com/repos/jeffheaton/t81_558_deep_learning,4285,2331,872,2,88
135996045,LoSealL/VideoSuperResolution,https://api.github.com/repos/LoSealL/VideoSuperResolution,1314,283,456,5,88
97260971,JdeRobot/DetectionMetrics,https://api.github.com/repos/JdeRobot/DetectionMetrics,66,38,397,35,88
157606202,tensorflow/tensorrt,https://api.github.com/repos/tensorflow/tensorrt,623,199,225,84,88
